dataset,target,split,features,head,n_request,mean,std,count,n_train,sem
SAbDab_Chen,developability,cluster,esm2+cheap,mlp,50,0.583121696005717,0.05523481386966934,20,50.0,0.012350879853712884
SAbDab_Chen,developability,cluster,esm2+cheap,mlp,500,0.7318324015647153,0.043107464303220475,20,500.0,0.009639122051964658
SAbDab_Chen,developability,cluster,esm2+cheap,mlp,all,0.7674856794130913,0.048833795022886164,20,1802.3,0.010919568527046435
SAbDab_Chen,developability,cluster,random,gbm,100,0.496451772328364,0.028403364198435734,20,100.0,0.006351185313738612
SAbDab_Chen,developability,cluster,random,gbm,1000,0.4868793325028261,0.028352861362827123,20,1000.0,0.006339892536390877
SAbDab_Chen,developability,cluster,random,gbm,200,0.49730151806535583,0.034109851803453405,20,200.0,0.007627194733496561
SAbDab_Chen,developability,cluster,random,gbm,25,0.5052764354547343,0.028380857144913757,20,25.0,0.006346152583573776
SAbDab_Chen,developability,cluster,random,gbm,50,0.5073915944377245,0.02472952180260764,20,50.0,0.005529689180169382
SAbDab_Chen,developability,cluster,random,gbm,500,0.48196574339080583,0.030352120381348265,20,500.0,0.006786940443395156
SAbDab_Chen,developability,cluster,random,gbm,all,0.47370203543099676,0.022344492697711268,20,1802.3,0.004996380459483005
SAbDab_Chen,developability,cluster,random,linear,100,0.501584788874047,0.025113985306373834,20,100.0,0.0056156578330982775
SAbDab_Chen,developability,cluster,random,linear,1000,0.4887666787885202,0.032106826870512944,20,1000.0,0.0071793047424283775
SAbDab_Chen,developability,cluster,random,linear,200,0.5011080148020286,0.02838656504570958,20,200.0,0.006347428908992605
SAbDab_Chen,developability,cluster,random,linear,25,0.5014288426261941,0.028595634599011845,20,25.0,0.006394178282313543
SAbDab_Chen,developability,cluster,random,linear,50,0.5014485311695319,0.026566407455937985,20,50.0,0.005940429298943458
SAbDab_Chen,developability,cluster,random,linear,500,0.4948932257658744,0.028760510665430186,20,500.0,0.00643104569155096
SAbDab_Chen,developability,cluster,random,linear,all,0.4744510850193593,0.02069625641332439,20,1802.3,0.004627823621995932
SAbDab_Chen,developability,cluster,random,mlp,100,0.49773462485432896,0.031026809749954583,20,100.0,0.006937805572585169
SAbDab_Chen,developability,cluster,random,mlp,1000,0.48614498951763646,0.028311509012645186,20,1000.0,0.006330645869787259
